studio,bom_domestic_gross,bom_foreign_gross,title_clean,release_date_x,tn_production_budget,profit,roi,runtime_minutes,genres,averagerating,numvotes,genre_ids,original_language,popularity,vote_average,vote_count,release_year,roi_abs,bom_worldwide_gross
Wb,44900000.0,10700000.0,Cop Out,2010-02-26,37000000.0,18909910.0,0.5110786486486486,107.0,"['Action', 'Comedy', 'Crime']",5.6,81656,"[28, 35, 80]",En,8.82,5.4,796.0,2010,0.5110786486486486,55600000.0
Over.,39100000.0,15700000.0,The Crazies,2010-02-26,19000000.0,37445534.0,1.9708175789473685,101.0,"['Horror', 'Thriller']",6.5,104465,"[9648, 27, 28]",En,12.246,6.2,1036.0,2010,1.9708175789473685,54800000.0
Lgf,24100000.0,28700000.0,From Paris With Love,2010-02-05,52000000.0,1139168.0,0.02190707692307692,92.0,"['Action', 'Crime', 'Thriller']",6.5,107079,"[28, 80, 53]",En,12.862,6.2,1075.0,2010,0.02190707692307692,52800000.0
Mira.,27800000.0,22100000.0,The Switch,2010-08-20,19000000.0,30858465.0,1.6241297368421053,101.0,"['Comedy', 'Drama', 'Romance']",6.1,90661,"[35, 10749, 18]",En,7.745,6.1,1008.0,2010,1.6241297368421053,49900000.0
Par.,32000000.0,17800000.0,She'S Out Of My League,2010-03-12,20000000.0,28680977.0,1.43404885,104.0,"['Comedy', 'Romance']",6.4,117245,"[35, 10749]",En,7.775,6.1,970.0,2010,1.43404885,49800000.0
Uni.,31200000.0,17000000.0,Charlie St. Cloud,2010-07-30,44000000.0,4478084.0,0.10177463636363636,99.0,"['Drama', 'Fantasy', 'Romance']",6.5,55016,"[18, 10749]",En,9.454,6.9,1398.0,2010,0.10177463636363636,48200000.0
Uni.,31500000.0,16100000.0,Scott Pilgrim Vs. The World,2010-08-13,85000000.0,-36943236.0,-0.43462630588235296,112.0,"['Action', 'Comedy', 'Fantasy']",7.5,339338,"[28, 35, 10749]",En,14.383,7.3,3882.0,2010,0.43462630588235296,47600000.0
Lgf,24300000.0,20900000.0,The Spy Next Door,2010-01-15,28000000.0,18752858.0,0.6697449285714285,94.0,"['Action', 'Comedy', 'Family']",5.5,36767,"[28, 35, 10751]",En,10.746,5.7,650.0,2010,0.6697449285714285,45200000.0
Fox,26600000.0,17500000.0,Machete,2010-09-03,12500000.0,33870970.0,2.7096776,105.0,"['Action', 'Crime', 'Thriller']",6.6,182320,"[28, 35, 53]",En,12.557,6.3,1862.0,2010,2.7096776,44100000.0
Foxs,4000000.0,38300000.0,My Name Is Khan,2010-02-12,8470000.0,33885526.0,4.000652420306966,165.0,['Drama'],8.0,90988,"[18, 10749]",Hi,7.619,7.8,409.0,2010,4.000652420306966,42300000.0
Wb (Nl),17800000.0,24200000.0,Going The Distance,2010-09-03,32000000.0,11603990.0,0.3626246875,102.0,"['Comedy', 'Romance']",6.3,54421,"[35, 18, 10749]",En,8.281,6.0,394.0,2010,0.3626246875,42000000.0
Lgf,37700000.0,17300.0,For Colored Girls,2010-11-05,21000000.0,17017873.0,0.8103749047619048,133.0,['Drama'],6.1,6728,[18],En,2.858,6.8,33.0,2010,0.8103749047619048,37717300.0
Sum.,17600000.0,18600000.0,Furry Vengeance,2010-04-30,35000000.0,4340177.0,0.12400505714285714,92.0,"['Comedy', 'Family']",3.8,14700,"[35, 10751]",En,9.45,4.6,283.0,2010,0.12400505714285714,36200000.0
Cbs,23200000.0,12400000.0,Faster,2010-11-24,24000000.0,11792945.0,0.49137270833333335,98.0,"['Action', 'Crime', 'Drama']",6.5,93618,"[80, 18, 28, 53]",En,14.172,6.2,895.0,2010,0.49137270833333335,35600000.0
Focus,20800000.0,13900000.0,The Kids Are All Right,2010-07-09,4000000.0,32275469.0,8.06886725,106.0,"['Comedy', 'Drama', 'Romance']",7.0,120656,"[35, 18]",En,8.426,6.6,854.0,2010,8.06886725,34700000.0
Spc,3200000.0,31000000.0,You Will Meet A Tall Dark Stranger,2010-09-22,15000000.0,19247816.0,1.2831877333333332,98.0,"['Comedy', 'Drama', 'Romance']",6.3,41608,"[35, 18, 10749]",En,6.209,5.8,431.0,2010,1.2831877333333332,34200000.0
Uni.,25900000.0,6700000.0,Leap Year,2010-01-08,19000000.0,13618920.0,0.7167852631578947,100.0,"['Comedy', 'Romance']",6.5,86125,"[10749, 35]",En,11.821,6.7,990.0,2010,0.7167852631578947,32600000.0
Uni.,25900000.0,6700000.0,Leap Year,2010-01-08,19000000.0,13618920.0,0.7167852631578947,100.0,"['Comedy', 'Romance']",6.5,86125,"[18, 35, 10749]",Es,2.563,5.6,30.0,2010,0.7167852631578947,32600000.0
Bv,25700000.0,6300000.0,You Again,2010-09-24,20000000.0,12838945.0,0.64194725,105.0,"['Comedy', 'Family', 'Romance']",5.8,46690,"[35, 10749]",En,10.208,6.2,734.0,2010,0.64194725,32000000.0
Wb,23600000.0,5800000.0,The Losers,2010-04-23,25000000.0,4863840.0,0.1945536,97.0,"['Action', 'Adventure', 'Crime']",6.4,83876,"[28, 12, 80, 9648, 53]",En,10.202,6.2,844.0,2010,0.1945536,29400000.0
Fox,26200000.0,1100000.0,Ramona And Beezus,2010-07-23,15000000.0,12469621.0,0.8313080666666667,103.0,"['Adventure', 'Comedy', 'Family']",6.6,16086,"[35, 10751]",En,7.442,6.3,460.0,2010,0.8313080666666667,27300000.0
